name,location,price,review_score,review_count,amenities
House 43,"Old Medina, Essaouira",MAD 526,Scored 9.0,7 reviews,
Dar khadija,"Ahl Agadir, Essaouira","MAD 1,788",Scored 8.0,9 reviews,
Apparemment KANZA,Essaouira,MAD 339,Scored 5.2,4 reviews,
Maison Kasba Bonheur & Bien etre Emma & Gilles,Essaouira,"MAD 2,209",Scored 9.3,136 reviews,
Riad Ghazal,Essaouira,MAD 949,Scored 9.6,99 reviews,
Dar Essaada,Essaouira,"MAD 1,262",Scored 8.8,180 reviews,
Mogador Appartements T6,Essaouira,MAD 999,Scored 8.9,28 reviews,
la fromagerie essaouira,Essaouira,MAD 736,Scored 8.3,77 reviews,
Villa jamal essaouira,Essaouira,"MAD 1,162",Scored 9.3,6 reviews,
Appartement de luxe ESSAOUIRA En Face a LA PLAGE,Essaouira,MAD 331,Scored 4.5,22 reviews,
Riad Nakhla,"Ahl Agadir, Essaouira",MAD 663,Scored 7.9,165 reviews,
Appartement essaouira proche de la mer,Essaouira,"MAD 1,001",Scored 10,3 reviews,
DAR CHBANATE,"Old Medina, Essaouira",MAD 263,Scored 6.0,4 reviews,
Appartement à Essaouira jawharat Mogador,Essaouira,MAD 369,Scored 5.5,2 reviews,
Appartement essaouira,Essaouira,MAD 316,Scored 10,1 review,
Villa DAR MAMA,Essaouira,MAD 757,Scored 7.7,3 reviews,
Riad Gloria,"Old Medina, Essaouira","MAD 1,562",Scored 8.9,250 reviews,
Appartement Ghita Essaouira,Essaouira,MAD 833,Scored 10,4 reviews,
wind house,Essaouira,MAD 540,Scored 8.0,8 reviews,
شقة بإقامة الجوهرة الصويرة,Essaouira,"MAD 1,431",Scored 8.1,46 reviews,
Dar Amina,Essaouira,MAD 454,Scored 7.0,1 review,
ثافوكت الصويرة,Essaouira,MAD 225,Scored 3.0,1 review,
Résidence jawharat mogador,Essaouira,MAD 663,Scored 7.9,10 reviews,
Studio Essaouira,Essaouira,MAD 237,Scored 8.0,1 review,
Dar Mozart,Essaouira,MAD 454,Scored 8.9,9 reviews,
Apparemment Tout Confort Wifi,Essaouira,"MAD 1,207",Scored 7.9,10 reviews,
Riad Isla,Essaouira,"MAD 1,893",Scored 8.5,13 reviews,
We look forward to welcoming you to our home,"Old Medina, Essaouira",MAD 339,Scored 4.5,2 reviews,
A Cozy and Convenient Apartment for a Memorable Stay,Essaouira,MAD 379,Scored 4.0,2 reviews,
Residence jouharaa,Essaouira,MAD 379,Scored 4.0,2 reviews,
We are looking forward to welcoming you to our home,"Old Medina, Essaouira",MAD 299,Scored 3.3,3 reviews,
تافوكة,Essaouira,MAD 316,Scored 7.5,4 reviews,
Villa Moon,Essaouira,"MAD 1,424",Scored 9.2,5 reviews,
Villa Rosa,Essaouira,"MAD 1,420",Scored 8.0,3 reviews,
Riad Zamrani,"Kasbah, Essaouira",MAD 568,Scored 8.0,2 reviews,
Villa Zaouia,Essaouira,"MAD 1,119",Scored 5.7,3 reviews,
Villa Tremoulet Essaouira,Essaouira,MAD 789,Scored 10,4 reviews,
Villa Nour Al-Khalil,Essaouira,"MAD 2,518",Scored 9.2,30 reviews,
Riad Aïcha Addi - Poolside - Traditional Moroccan,Essaouira,"MAD 2,630",Scored 9.3,35 reviews,
امام البحر,Essaouira,MAD 885,Scored 1.0,1 review,
"Villa,Mer 5min marche, Terrasse,2niv,4CH,2SB,fibre",Essaouira,"MAD 1,178",Scored 9.0,1 review,
appartement calme,Essaouira,MAD 469,Scored 3.0,3 reviews,
Appartement terrasse en famille ou entre amis,Essaouira,MAD 764,Scored 10,1 review,
جوهرة موكادور,Essaouira,MAD 341,Scored 1.0,2 reviews,
Dar Al Kheir,Essaouira,"MAD 1,136",Scored 10,1 review,
Appart mehdi,Essaouira,MAD 284,Scored 1.0,1 review,
Appartement de luxe,Essaouira,MAD 937,Scored 1.0,1 review,
Vue mer appartement,Essaouira,MAD 863,Scored 3.0,2 reviews,
Villa Med House,Essaouira,"MAD 1,893",Scored 9.0,1 review,
Dar De La Milonga,Essaouira,MAD 820,Scored 1.0,2 reviews,
RIAD ANIS,Essaouira,"MAD 1,938",Scored 9.3,3 reviews,
Apparemment À Résidence Confortable,Essaouira,"MAD 1,207",Scored 7.0,3 reviews,
Maison d'hôte,Essaouira,MAD 606,Scored 1.0,1 review,
